PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect URL,Redirect URL code,Redirect URL patch,Redirect URL patch status,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
1,https://www.kinexisdigital.com/services/analytics,,,false,307,0,https://www.kinexisdigital.com/en/services/analytics,200,,,https://www.kinexisdigital.com/en/services/analytics,200,false,10,0,https://www.kinexisdigital.com/en/services/analytics
1,https://www.kinexisdigital.com/services/seo,,,false,307,0,https://www.kinexisdigital.com/en/services/seo,200,,,https://www.kinexisdigital.com/en/services/seo,200,false,10,0,https://www.kinexisdigital.com/es/services/seo
1,https://www.kinexisdigital.com/services/funnels,,,false,307,0,https://www.kinexisdigital.com/en/services/funnels,200,,,https://www.kinexisdigital.com/en/services/funnels,200,false,12,0,https://www.kinexisdigital.com/es/services/funnels
0,https://www.kinexisdigital.com/industries/financial-services/credit-unions,,,false,307,0,https://www.kinexisdigital.com/en/industries/financial-services/credit-unions,200,,,https://www.kinexisdigital.com/en/industries/financial-services/credit-unions,200,false,2,0,https://www.kinexisdigital.com/en/industries/financial-services/credit-unions
0,https://www.kinexisdigital.com/blog/local-seo-checklist,,,false,307,0,https://www.kinexisdigital.com/en/blog/local-seo-checklist,200,,,https://www.kinexisdigital.com/en/blog/local-seo-checklist,200,false,2,0,https://www.kinexisdigital.com/en/blog/local-seo-checklist
0,https://www.kinexisdigital.com/seo-vs-ppc,,,false,307,0,https://www.kinexisdigital.com/en/seo-vs-ppc,200,,,https://www.kinexisdigital.com/en/seo-vs-ppc,200,false,2,0,https://www.kinexisdigital.com/en/seo-vs-ppc
0,https://www.kinexisdigital.com/local-seo-vs-google-ads,,,false,307,0,https://www.kinexisdigital.com/en/local-seo-vs-google-ads,200,,,https://www.kinexisdigital.com/en/local-seo-vs-google-ads,200,false,2,0,https://www.kinexisdigital.com/en/local-seo-vs-google-ads
0,https://www.kinexisdigital.com/wordpress-vs-webflow,,,false,307,0,https://www.kinexisdigital.com/en/wordpress-vs-webflow,200,,,https://www.kinexisdigital.com/en/wordpress-vs-webflow,200,false,2,0,https://www.kinexisdigital.com/en/wordpress-vs-webflow
0,https://www.kinexisdigital.com/industries/healthcare/physical-therapy,,,false,307,0,https://www.kinexisdigital.com/en/industries/healthcare/physical-therapy,200,,,https://www.kinexisdigital.com/en/industries/healthcare/physical-therapy,200,false,2,0,https://www.kinexisdigital.com/en/industries/healthcare/physical-therapy
0,https://www.kinexisdigital.com/locations/des-moines/seo,,,false,307,0,https://www.kinexisdigital.com/en/locations/des-moines/seo,200,,,https://www.kinexisdigital.com/en/locations/des-moines/seo,200,false,2,0,https://www.kinexisdigital.com/en/locations/des-moines/seo
0,https://www.kinexisdigital.com/industries/healthcare,,,false,307,0,https://www.kinexisdigital.com/en/industries/healthcare,200,,,https://www.kinexisdigital.com/en/industries/healthcare,200,false,2,0,https://www.kinexisdigital.com/en/industries/healthcare
0,https://www.kinexisdigital.com/digital-marketing-agency,,,false,307,0,https://www.kinexisdigital.com/en/digital-marketing-agency,200,,,https://www.kinexisdigital.com/en/digital-marketing-agency,200,false,2,0,https://www.kinexisdigital.com/en/digital-marketing-agency
0,https://www.kinexisdigital.com/blog/lifecycle-marketing,,,false,307,0,https://www.kinexisdigital.com/en/blog/lifecycle-marketing,200,,,https://www.kinexisdigital.com/en/blog/lifecycle-marketing,200,false,2,0,https://www.kinexisdigital.com/en/blog/lifecycle-marketing
0,https://www.kinexisdigital.com/locations/toronto,,,false,307,0,https://www.kinexisdigital.com/en/locations/toronto,200,,,https://www.kinexisdigital.com/en/locations/toronto,200,false,2,0,https://www.kinexisdigital.com/en/locations/toronto
0,https://www.kinexisdigital.com/locations/waterloo/web-design,,,false,307,0,https://www.kinexisdigital.com/en/locations/waterloo/web-design,200,,,https://www.kinexisdigital.com/en/locations/waterloo/web-design,200,false,2,0,https://www.kinexisdigital.com/en/locations/waterloo/web-design
0,https://www.kinexisdigital.com/industries/home-services/pest-control,,,false,307,0,https://www.kinexisdigital.com/en/industries/home-services/pest-control,200,,,https://www.kinexisdigital.com/en/industries/home-services/pest-control,200,false,2,0,https://www.kinexisdigital.com/en/industries/home-services/pest-control
0,https://www.kinexisdigital.com/team/james-chen,,,false,307,0,https://www.kinexisdigital.com/en/team/james-chen,200,,,https://www.kinexisdigital.com/en/team/james-chen,200,false,2,0,https://www.kinexisdigital.com/en/team/james-chen
0,https://www.kinexisdigital.com/industries/home-services/landscaping,,,false,307,0,https://www.kinexisdigital.com/en/industries/home-services/landscaping,200,,,https://www.kinexisdigital.com/en/industries/home-services/landscaping,200,false,2,0,https://www.kinexisdigital.com/en/industries/home-services/landscaping
0,https://www.kinexisdigital.com/blog/heatmap-analysis,,,false,307,0,https://www.kinexisdigital.com/en/blog/heatmap-analysis,200,,,https://www.kinexisdigital.com/en/blog/heatmap-analysis,200,false,2,0,https://www.kinexisdigital.com/en/blog/heatmap-analysis
0,https://www.kinexisdigital.com/blog/technical-seo-fundamentals,,,false,307,0,https://www.kinexisdigital.com/en/blog/technical-seo-fundamentals,200,,,https://www.kinexisdigital.com/en/blog/technical-seo-fundamentals,200,false,2,0,https://www.kinexisdigital.com/en/blog/technical-seo-fundamentals
0,https://www.kinexisdigital.com/industries/ecommerce/online-retailers,,,false,307,0,https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers,200,,,https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers,200,false,2,0,https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers
0,https://www.kinexisdigital.com/industries/technology/ai-companies,,,false,307,0,https://www.kinexisdigital.com/en/industries/technology/ai-companies,200,,,https://www.kinexisdigital.com/en/industries/technology/ai-companies,200,false,2,0,https://www.kinexisdigital.com/en/industries/technology/ai-companies
0,https://www.kinexisdigital.com/industries/home-services/electrical,,,false,307,0,https://www.kinexisdigital.com/en/industries/home-services/electrical,200,,,https://www.kinexisdigital.com/en/industries/home-services/electrical,200,false,2,0,https://www.kinexisdigital.com/es/industries/home-services/electrical
0,https://www.kinexisdigital.com/blog/link-building-strategies,,,false,307,0,https://www.kinexisdigital.com/en/blog/link-building-strategies,200,,,https://www.kinexisdigital.com/en/blog/link-building-strategies,200,false,2,0,https://www.kinexisdigital.com/en/blog/link-building-strategies
0,https://www.kinexisdigital.com/industries/home-services/hvac,,,false,307,0,https://www.kinexisdigital.com/en/industries/home-services/hvac,200,,,https://www.kinexisdigital.com/en/industries/home-services/hvac,200,false,2,0,https://www.kinexisdigital.com/en/industries/home-services/hvac
0,https://www.kinexisdigital.com/resources,,,false,307,0,https://www.kinexisdigital.com/en/resources,200,,,https://www.kinexisdigital.com/en/resources,200,false,2,0,https://www.kinexisdigital.com/en/resources
0,https://www.kinexisdigital.com/solutions/saas-marketing-agency,,,false,307,0,https://www.kinexisdigital.com/en/solutions/saas-marketing-agency,200,,,https://www.kinexisdigital.com/en/solutions/saas-marketing-agency,200,false,2,0,https://www.kinexisdigital.com/en/solutions/saas-marketing-agency
0,https://www.kinexisdigital.com/industries/healthcare/pharmacies,,,false,307,0,https://www.kinexisdigital.com/en/industries/healthcare/pharmacies,200,,,https://www.kinexisdigital.com/en/industries/healthcare/pharmacies,200,false,2,0,https://www.kinexisdigital.com/en/industries/healthcare/pharmacies
0,https://www.kinexisdigital.com/industries/technology/software-companies,,,false,307,0,https://www.kinexisdigital.com/en/industries/technology/software-companies,200,,,https://www.kinexisdigital.com/en/industries/technology/software-companies,200,false,2,0,https://www.kinexisdigital.com/en/industries/technology/software-companies
0,https://www.kinexisdigital.com/industries/hospitality/bars-nightlife,,,false,307,0,https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,200,,,https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,200,false,2,0,https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife
0,https://www.kinexisdigital.com/solutions/cro-for-saas-companies,,,false,307,0,https://www.kinexisdigital.com/en/solutions/cro-for-saas-companies,200,,,https://www.kinexisdigital.com/en/solutions/cro-for-saas-companies,200,false,2,0,https://www.kinexisdigital.com/en/solutions/cro-for-saas-companies
0,https://www.kinexisdigital.com/blog/local-seo-strategy-2026,,,false,307,0,https://www.kinexisdigital.com/en/blog/local-seo-strategy-2026,200,,,https://www.kinexisdigital.com/en/blog/local-seo-strategy-2026,200,false,2,0,https://www.kinexisdigital.com/en/blog/local-seo-strategy-2026
0,https://www.kinexisdigital.com/locations/waterloo/ppc-management,,,false,307,0,https://www.kinexisdigital.com/en/locations/waterloo/ppc-management,200,,,https://www.kinexisdigital.com/en/locations/waterloo/ppc-management,200,false,2,0,https://www.kinexisdigital.com/en/locations/waterloo/ppc-management
