PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
30,https://www.kinexisdigital.com/en/industries/financial-services/insurance,Insurance Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/financial-services/insurance
https://www.kinexisdigital.com/en/industries/financial-services/insurance
https://www.kinexisdigital.com/es/industries/financial-services/insurance
https://www.kinexisdigital.com/es/industries/financial-services/insurance
https://www.kinexisdigital.com/industries/financial-services/insurance","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",5927611169620563282,4,195
30,https://www.kinexisdigital.com/es/locations/cedar-rapids,Digital Marketing Agency Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/locations/cedar-rapids
https://www.kinexisdigital.com/en/locations/cedar-rapids
https://www.kinexisdigital.com/es/locations/cedar-rapids
https://www.kinexisdigital.com/es/locations/cedar-rapids
https://www.kinexisdigital.com/locations/cedar-rapids","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",10067364075189767332,3,192
30,https://www.kinexisdigital.com/es/industries/healthcare/dental,Agencia de Marketing Dental | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/healthcare/dental
https://www.kinexisdigital.com/en/industries/healthcare/dental
https://www.kinexisdigital.com/es/industries/healthcare/dental
https://www.kinexisdigital.com/es/industries/healthcare/dental
https://www.kinexisdigital.com/industries/healthcare/dental","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",13823676825357169896,3,192
30,https://www.kinexisdigital.com/es/services/web-design,Agencia de Diseño Web para Generación de… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/services/web-design
https://www.kinexisdigital.com/en/services/web-design
https://www.kinexisdigital.com/es/services/web-design
https://www.kinexisdigital.com/es/services/web-design
https://www.kinexisdigital.com/services/web-design","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",3307355207473485086,3,192
30,https://www.kinexisdigital.com/es/industries/professional-services/dentists,Agencia de Marketing Dentists | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/professional-services/dentists
https://www.kinexisdigital.com/en/industries/professional-services/dentists
https://www.kinexisdigital.com/es/industries/professional-services/dentists
https://www.kinexisdigital.com/es/industries/professional-services/dentists
https://www.kinexisdigital.com/industries/professional-services/dentists","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",15479762191181931789,3,192
30,https://www.kinexisdigital.com/en/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/professional-services
https://www.kinexisdigital.com/en/industries/professional-services
https://www.kinexisdigital.com/es/industries/professional-services
https://www.kinexisdigital.com/es/industries/professional-services
https://www.kinexisdigital.com/industries/professional-services","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",9307044681501219879,4,195
30,https://www.kinexisdigital.com/en/about,About KINEXIS Digital | Growth Marketing Agency,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/about
https://www.kinexisdigital.com/en/about
https://www.kinexisdigital.com/en/about
https://www.kinexisdigital.com/es/about
https://www.kinexisdigital.com/es/about","307
200
200
200
200","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",17313060739024569047,4,195
30,https://www.kinexisdigital.com/es/industries/ecommerce/online-retailers,Agencia de Marketing Online Retailers | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/es/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/es/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/industries/ecommerce/online-retailers","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",1706461141773802821,3,192
30,https://www.kinexisdigital.com/es/industries/healthcare/pharmacies,Agencia de Marketing Pharmacies | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/healthcare/pharmacies
https://www.kinexisdigital.com/en/industries/healthcare/pharmacies
https://www.kinexisdigital.com/es/industries/healthcare/pharmacies
https://www.kinexisdigital.com/es/industries/healthcare/pharmacies
https://www.kinexisdigital.com/industries/healthcare/pharmacies","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",2322332063666202279,3,192
30,https://www.kinexisdigital.com/es,KINEXIS Digital - Convierte el Tráfico en Ingresos,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/
https://www.kinexisdigital.com/en
https://www.kinexisdigital.com/en
https://www.kinexisdigital.com/es
https://www.kinexisdigital.com/es","307
200
200
200
200","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",17972425451262481747,3,192
30,https://www.kinexisdigital.com/es/terms,Términos de Servicio | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/terms
https://www.kinexisdigital.com/en/terms
https://www.kinexisdigital.com/es/terms
https://www.kinexisdigital.com/es/terms
https://www.kinexisdigital.com/terms","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",11900558632894053693,3,192
30,https://www.kinexisdigital.com/en/industries/healthcare/chiropractors,Chiropractors Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/healthcare/chiropractors
https://www.kinexisdigital.com/en/industries/healthcare/chiropractors
https://www.kinexisdigital.com/es/industries/healthcare/chiropractors
https://www.kinexisdigital.com/es/industries/healthcare/chiropractors
https://www.kinexisdigital.com/industries/healthcare/chiropractors","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",10944463507978676788,4,195
30,https://www.kinexisdigital.com/es/industries/financial-services/wealth-management,Agencia de Marketing Wealth Management | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/financial-services/wealth-management
https://www.kinexisdigital.com/en/industries/financial-services/wealth-management
https://www.kinexisdigital.com/es/industries/financial-services/wealth-management
https://www.kinexisdigital.com/es/industries/financial-services/wealth-management
https://www.kinexisdigital.com/industries/financial-services/wealth-management","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",4105595311412862820,3,192
30,https://www.kinexisdigital.com/es/resources,LAS HERRAMIENTAS QUE USAMOS. | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/resources
https://www.kinexisdigital.com/en/resources
https://www.kinexisdigital.com/es/resources
https://www.kinexisdigital.com/es/resources
https://www.kinexisdigital.com/resources","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",2078194073736707140,3,192
30,https://www.kinexisdigital.com/es/industries/manufacturing/food-production,Agencia de Marketing Food Production | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/manufacturing/food-production
https://www.kinexisdigital.com/en/industries/manufacturing/food-production
https://www.kinexisdigital.com/es/industries/manufacturing/food-production
https://www.kinexisdigital.com/es/industries/manufacturing/food-production
https://www.kinexisdigital.com/industries/manufacturing/food-production","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",10164951309734249134,3,192
30,https://www.kinexisdigital.com/en/industries/hospitality/resorts,Resorts Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/hospitality/resorts
https://www.kinexisdigital.com/en/industries/hospitality/resorts
https://www.kinexisdigital.com/es/industries/hospitality/resorts
https://www.kinexisdigital.com/es/industries/hospitality/resorts
https://www.kinexisdigital.com/industries/hospitality/resorts","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",12953172174650481765,4,195
30,https://www.kinexisdigital.com/en/industries/home-services/hvac,HVAC Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/home-services/hvac
https://www.kinexisdigital.com/en/industries/home-services/hvac
https://www.kinexisdigital.com/es/industries/home-services/hvac
https://www.kinexisdigital.com/es/industries/home-services/hvac
https://www.kinexisdigital.com/industries/home-services/hvac","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",2025308760623993418,4,195
30,https://www.kinexisdigital.com/es/industries/home-services/plumbing,Agencia de Marketing Plumbing | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/home-services/plumbing
https://www.kinexisdigital.com/en/industries/home-services/plumbing
https://www.kinexisdigital.com/es/industries/home-services/plumbing
https://www.kinexisdigital.com/es/industries/home-services/plumbing
https://www.kinexisdigital.com/industries/home-services/plumbing","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",13095306857933199599,3,192
30,https://www.kinexisdigital.com/es/industries/technology/fintech,Agencia de Marketing Fintech | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/technology/fintech
https://www.kinexisdigital.com/en/industries/technology/fintech
https://www.kinexisdigital.com/es/industries/technology/fintech
https://www.kinexisdigital.com/es/industries/technology/fintech
https://www.kinexisdigital.com/industries/technology/fintech","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",9025880676686311512,3,192
30,https://www.kinexisdigital.com/en/blog/seo-audit-framework,SEO Audit Framework: A Step-by-Step Process | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/blog/seo-audit-framework
https://www.kinexisdigital.com/en/blog/seo-audit-framework
https://www.kinexisdigital.com/en/blog/seo-audit-framework
https://www.kinexisdigital.com/es/blog/seo-audit-framework
https://www.kinexisdigital.com/es/blog/seo-audit-framework","307
200
200
200
200","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",8093723056304501711,4,195
30,https://www.kinexisdigital.com/es/industries/hospitality/restaurants,Agencia de Marketing Restaurants | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/hospitality/restaurants
https://www.kinexisdigital.com/en/industries/hospitality/restaurants
https://www.kinexisdigital.com/es/industries/hospitality/restaurants
https://www.kinexisdigital.com/es/industries/hospitality/restaurants
https://www.kinexisdigital.com/industries/hospitality/restaurants","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",13844699685440234596,3,192
30,https://www.kinexisdigital.com/es/industries/financial-services/mortgage-lenders,Agencia de Marketing Mortgage Lenders | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/financial-services/mortgage-lenders
https://www.kinexisdigital.com/en/industries/financial-services/mortgage-lenders
https://www.kinexisdigital.com/es/industries/financial-services/mortgage-lenders
https://www.kinexisdigital.com/es/industries/financial-services/mortgage-lenders
https://www.kinexisdigital.com/industries/financial-services/mortgage-lenders","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",7329570147657675551,3,192
30,https://www.kinexisdigital.com/en/industries/home-services/landscaping,Landscaping Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/home-services/landscaping
https://www.kinexisdigital.com/en/industries/home-services/landscaping
https://www.kinexisdigital.com/es/industries/home-services/landscaping
https://www.kinexisdigital.com/es/industries/home-services/landscaping
https://www.kinexisdigital.com/industries/home-services/landscaping","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",1188108655988065235,4,195
30,https://www.kinexisdigital.com/es/google-ads-vs-seo,Google Ads vs SEO | ¿Qué Canal Conviene?,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/google-ads-vs-seo
https://www.kinexisdigital.com/en/google-ads-vs-seo
https://www.kinexisdigital.com/es/google-ads-vs-seo
https://www.kinexisdigital.com/es/google-ads-vs-seo
https://www.kinexisdigital.com/google-ads-vs-seo","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",9301124876022876010,3,192
30,https://www.kinexisdigital.com/en/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/locations/dallas
https://www.kinexisdigital.com/en/locations/dallas
https://www.kinexisdigital.com/es/locations/dallas
https://www.kinexisdigital.com/es/locations/dallas
https://www.kinexisdigital.com/locations/dallas","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",8106588698129527396,4,195
30,https://www.kinexisdigital.com/es/industries/professional-services/law-firms,Agencia de Marketing Law Firms | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/professional-services/law-firms
https://www.kinexisdigital.com/en/industries/professional-services/law-firms
https://www.kinexisdigital.com/es/industries/professional-services/law-firms
https://www.kinexisdigital.com/es/industries/professional-services/law-firms
https://www.kinexisdigital.com/industries/professional-services/law-firms","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",15313686312164686690,3,192
30,https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers,Online Retailers Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/es/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/es/industries/ecommerce/online-retailers
https://www.kinexisdigital.com/industries/ecommerce/online-retailers","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",1706461141773802821,4,195
30,https://www.kinexisdigital.com/en/industries/financial-services/wealth-management,Wealth Management Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/financial-services/wealth-management
https://www.kinexisdigital.com/en/industries/financial-services/wealth-management
https://www.kinexisdigital.com/es/industries/financial-services/wealth-management
https://www.kinexisdigital.com/es/industries/financial-services/wealth-management
https://www.kinexisdigital.com/industries/financial-services/wealth-management","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",4105595311412862820,4,195
30,https://www.kinexisdigital.com/en/services/analytics,Marketing Analytics and Reporting | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/services/analytics
https://www.kinexisdigital.com/en/services/analytics
https://www.kinexisdigital.com/es/services/analytics
https://www.kinexisdigital.com/es/services/analytics
https://www.kinexisdigital.com/services/analytics","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",2105487179628210064,4,195
30,https://www.kinexisdigital.com/es/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/professional-services
https://www.kinexisdigital.com/en/industries/professional-services
https://www.kinexisdigital.com/es/industries/professional-services
https://www.kinexisdigital.com/es/industries/professional-services
https://www.kinexisdigital.com/industries/professional-services","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",9307044681501219879,3,192
30,https://www.kinexisdigital.com/es/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/locations/dallas
https://www.kinexisdigital.com/en/locations/dallas
https://www.kinexisdigital.com/es/locations/dallas
https://www.kinexisdigital.com/es/locations/dallas
https://www.kinexisdigital.com/locations/dallas","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",8106588698129527396,3,192
30,https://www.kinexisdigital.com/es/privacy,Política de Privacidad | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/privacy
https://www.kinexisdigital.com/en/privacy
https://www.kinexisdigital.com/es/privacy
https://www.kinexisdigital.com/es/privacy
https://www.kinexisdigital.com/privacy","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",11365567952086424275,3,192
30,https://www.kinexisdigital.com/es/industries/financial-services/banks,Agencia de Marketing Banks | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/financial-services/banks
https://www.kinexisdigital.com/en/industries/financial-services/banks
https://www.kinexisdigital.com/es/industries/financial-services/banks
https://www.kinexisdigital.com/es/industries/financial-services/banks
https://www.kinexisdigital.com/industries/financial-services/banks","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",12090060536072713479,3,192
30,https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,Bars & Nightlife Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife
https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife
https://www.kinexisdigital.com/es/industries/hospitality/bars-nightlife
https://www.kinexisdigital.com/es/industries/hospitality/bars-nightlife
https://www.kinexisdigital.com/industries/hospitality/bars-nightlife","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",2568629824622207230,4,195
30,https://www.kinexisdigital.com/en/industries/technology/startups,Startups Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/technology/startups
https://www.kinexisdigital.com/en/industries/technology/startups
https://www.kinexisdigital.com/es/industries/technology/startups
https://www.kinexisdigital.com/es/industries/technology/startups
https://www.kinexisdigital.com/industries/technology/startups","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",4758934079505017703,4,195
30,https://www.kinexisdigital.com/en/blog/landing-page-best-practices,Landing Page Best Practices for Paid Traffic | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/blog/landing-page-best-practices
https://www.kinexisdigital.com/en/blog/landing-page-best-practices
https://www.kinexisdigital.com/en/blog/landing-page-best-practices
https://www.kinexisdigital.com/es/blog/landing-page-best-practices
https://www.kinexisdigital.com/es/blog/landing-page-best-practices","307
200
200
200
200","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",15593622094012727793,4,195
30,https://www.kinexisdigital.com/es/industries/hospitality/cafes,Agencia de Marketing Cafes | KINEXIS,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries/hospitality/cafes
https://www.kinexisdigital.com/en/industries/hospitality/cafes
https://www.kinexisdigital.com/es/industries/hospitality/cafes
https://www.kinexisdigital.com/es/industries/hospitality/cafes
https://www.kinexisdigital.com/industries/hospitality/cafes","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",17722435821354678929,3,192
30,https://www.kinexisdigital.com/en/industries,Industries We Serve | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/industries
https://www.kinexisdigital.com/en/industries
https://www.kinexisdigital.com/es/industries
https://www.kinexisdigital.com/es/industries
https://www.kinexisdigital.com/industries","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",4278420022406751629,4,195
30,https://www.kinexisdigital.com/es/services/content-marketing,Agencia Marketing de Contenidos para… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/services/content-marketing
https://www.kinexisdigital.com/en/services/content-marketing
https://www.kinexisdigital.com/es/services/content-marketing
https://www.kinexisdigital.com/es/services/content-marketing
https://www.kinexisdigital.com/services/content-marketing","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",5801033849355831568,3,192
30,https://www.kinexisdigital.com/en/services/social-media,Social Media Management for B2B Brands | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,"https://www.kinexisdigital.com/en/services/social-media
https://www.kinexisdigital.com/en/services/social-media
https://www.kinexisdigital.com/es/services/social-media
https://www.kinexisdigital.com/es/services/social-media
https://www.kinexisdigital.com/services/social-media","200
200
200
200
307","Incorrect value
One page is linked for more than one language
More than one page is linked for the same language
Some pages are not returning 200 status code",17193769925389440978,4,195
