PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
30,https://www.kinexisdigital.com/en/blog/seo-audit-framework,SEO Audit Framework: A Step-by-Step Process | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/seo,307,1,,,0
30,https://www.kinexisdigital.com/en/blog/landing-page-best-practices,Landing Page Best Practices for Paid Traffic | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/funnels,307,1,,,0
30,https://www.kinexisdigital.com/es/blog/landing-page-best-practices,Mejores Prácticas de Landing Pages para Tráfico… | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/funnels,307,1,,,0
30,https://www.kinexisdigital.com/es/blog/local-seo-checklist,Checklist de SEO Local para Negocios de Servicios | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/local-seo,307,1,,,0
30,https://www.kinexisdigital.com/es/blog/ab-testing-framework,Framework de A/B Testing para Marketers | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/funnels,307,1,,,0
30,https://www.kinexisdigital.com/es/blog/seo-audit-framework,Framework de Auditoría SEO: Proceso Paso a Paso | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/seo,307,1,,,0
30,https://www.kinexisdigital.com/en/blog/local-seo-checklist,Local SEO Checklist for Service Businesses | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/local-seo,307,1,,,0
30,https://www.kinexisdigital.com/en/blog/ab-testing-framework,A/B Testing Framework for Marketers | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/funnels,307,1,,,0
20,https://www.kinexisdigital.com/en/blog/conversion-psychology,Conversion Psychology: Why Buyers Say Yes | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/funnels,307,1,,,0
20,https://www.kinexisdigital.com/en/blog/negative-keywords-guide,Negative Keywords Guide for PPC | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/ppc-management,307,1,,,0
20,https://www.kinexisdigital.com/es/blog/email-segmentation,Estrategias de Segmentación de Email | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/email-marketing,307,1,,,0
20,https://www.kinexisdigital.com/en/blog/quality-score-guide,Google Ads Quality Score Guide | KINEXIS,text/html; charset=utf-8,false,200,0,0,https://www.kinexisdigital.com/services/google-ads,307,1,,,0
