PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
10,http://www.kinexisdigital.com/en/blog/landing-page-best-practices,Landing Page Best Practices for Paid Traffic | KINEXIS,text/html; charset=utf-8,false,200,0,2,http://www.kinexisdigital.com/services/funnels,307,1,,,0
10,http://www.kinexisdigital.com/en/blog/seo-audit-framework,SEO Audit Framework: A Step-by-Step Process | KINEXIS,text/html; charset=utf-8,false,200,0,2,http://www.kinexisdigital.com/services/seo,307,1,,,0
10,http://www.kinexisdigital.com/en/blog/local-seo-checklist,Local SEO Checklist for Service Businesses | KINEXIS,text/html; charset=utf-8,false,200,0,2,http://www.kinexisdigital.com/services/local-seo,307,1,,,0
10,http://www.kinexisdigital.com/en/blog/ab-testing-framework,A/B Testing Framework for Marketers | KINEXIS,text/html; charset=utf-8,false,200,0,2,http://www.kinexisdigital.com/services/funnels,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/landing-page-optimization,Landing Page Optimization Playbook | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/funnels,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/ga4-reporting,GA4 Reporting for Marketing Teams | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/analytics,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/technical-seo-guide,The Complete Technical SEO Guide | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/seo,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/email-segmentation,Email Segmentation Strategies | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/email-marketing,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/link-building-strategies,Link Building Strategies That Still Work | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/seo,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/heatmap-analysis,Heatmap Analysis for Conversion Optimization | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/funnels,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/negative-keywords-guide,Negative Keywords Guide for PPC | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/ppc-management,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/attribution-models,Marketing Attribution Models Explained | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/analytics,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/roas-calculations,ROAS Calculations: Measuring True Ad Profitability | KINEXIS,text/html; charset=utf-8,false,200,0,3,http://www.kinexisdigital.com/services/analytics,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/internal-linking-guide,Internal Linking Guide for SEO Authority | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/seo,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/lifecycle-marketing,Lifecycle Marketing: Mapping the Full Customer… | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/email-marketing,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/automated-nurture-sequences,Automated Nurture Sequences That Convert | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/email-marketing,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/marketing-dashboards,Marketing Dashboards That Drive Decisions | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/analytics,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/quality-score-guide,Google Ads Quality Score Guide | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/google-ads,307,1,,,0
0,http://www.kinexisdigital.com/en/blog/conversion-psychology,Conversion Psychology: Why Buyers Say Yes | KINEXIS,text/html; charset=utf-8,false,200,0,4,http://www.kinexisdigital.com/services/funnels,307,1,,,0
