PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,No. of all inlinks,Is in sitemap,Referenced in sitemaps,No. of referencing sitemaps
30,https://www.kinexisdigital.com/en/industries/financial-services/insurance,Insurance Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/locations/cedar-rapids,Digital Marketing Agency Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/healthcare/dental,Agencia de Marketing Dental | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/services/web-design,Agencia de Diseño Web para Generación de… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/professional-services/dentists,Agencia de Marketing Dentists | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/about,About KINEXIS Digital | Growth Marketing Agency,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/ecommerce/online-retailers,Agencia de Marketing Online Retailers | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/healthcare/pharmacies,Agencia de Marketing Pharmacies | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es,KINEXIS Digital - Convierte el Tráfico en Ingresos,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/terms,Términos de Servicio | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/healthcare/chiropractors,Chiropractors Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/financial-services/wealth-management,Agencia de Marketing Wealth Management | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/resources,LAS HERRAMIENTAS QUE USAMOS. | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/manufacturing/food-production,Agencia de Marketing Food Production | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/hospitality/resorts,Resorts Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/home-services/hvac,HVAC Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/home-services/plumbing,Agencia de Marketing Plumbing | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/technology/fintech,Agencia de Marketing Fintech | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/blog/seo-audit-framework,SEO Audit Framework: A Step-by-Step Process | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/hospitality/restaurants,Agencia de Marketing Restaurants | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/financial-services/mortgage-lenders,Agencia de Marketing Mortgage Lenders | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/home-services/landscaping,Landscaping Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/google-ads-vs-seo,Google Ads vs SEO | ¿Qué Canal Conviene?,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/professional-services/law-firms,Agencia de Marketing Law Firms | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/ecommerce/online-retailers,Online Retailers Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/financial-services/wealth-management,Wealth Management Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/services/analytics,Marketing Analytics and Reporting | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/professional-services,Professional Services Marketing | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/privacy,Política de Privacidad | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/financial-services/banks,Agencia de Marketing Banks | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/hospitality/bars-nightlife,Bars & Nightlife Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries/technology/startups,Startups Marketing Agency | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/blog/landing-page-best-practices,Landing Page Best Practices for Paid Traffic | KINEXIS,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/industries/hospitality/cafes,Agencia de Marketing Cafes | KINEXIS,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/en/industries,Industries We Serve | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,195,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
30,https://www.kinexisdigital.com/es/services/content-marketing,Agencia Marketing de Contenidos para… | KINEXIS Digital,text/html; charset=utf-8,false,200,0,true,192,true,"http://kinexisdigital.com/sitemap.xml
https://kinexisdigital.com/sitemap.xml
https://www.kinexisdigital.com/sitemap.xml",3
