PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Schema items,Structured data issues,Is indexable page
30,https://www.kinexisdigital.com/es/locations/cedar-rapids,Digital Marketing Agency Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/locations/dallas,Digital Marketing Agency Dallas | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/locations/cedar-falls,Digital Marketing Agency Cedar Falls | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/locations/toronto,Digital Marketing Agency Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/cedar-rapids,Digital Marketing Agency Cedar Rapids | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/digital-marketing-agency,Agencia de Marketing Digital | KINEXIS Digital,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/digital-marketing-agency,Digital Marketing Agency | KINEXIS Digital,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/locations/bogota,Digital Marketing Agency Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/des-moines,Digital Marketing Agency Des Moines | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/austin,Digital Marketing Agency Austin | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/cedar-falls,Digital Marketing Agency Cedar Falls | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/bogota,Digital Marketing Agency Bogotá | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/toronto,Digital Marketing Agency Toronto | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/locations/waterloo,Digital Marketing Agency Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/es/locations/austin,Digital Marketing Agency Austin | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
30,https://www.kinexisdigital.com/en/locations/waterloo,Digital Marketing Agency Waterloo | KINEXIS,text/html; charset=utf-8,false,200,0,"BreadcrumbList
FAQPage
LocalBusiness
Organization",Google rich results validation error,true
